CBSA_ID,CBSA_Name_BRFSS,PercentAsthma,PercentObese,PercentBingeDrink,PercentCOPD,PercentCoronaryHeartDisease,PercentCurrentSmoker,PercentDepression,PercentDiabetes,PercentDifficultyErrandsAlone,PercentFluShot,PercentHealthCoverage,PercentOtherCancer,PercentSeatbeltUse,PercentSkinCancer,PercentStroke,PercentTooExpensiveToSeeDoctor,CBSA_Name,FIPS_ID,FIPS_Name
12940,"Baton Rouge, LA Metropolitan Statistical Area",9.25,33.03,20.49,7.1,4.62,21.69,19.43,11.16,7.15,58.29,88.93,6.86,94.58,3.84,4.55,14.71,"Baton Rouge, LA (Metropolitan Statistical Area)",22121,"West Baton Rouge, LA"
12940,"Baton Rouge, LA Metropolitan Statistical Area",9.25,33.03,20.49,7.1,4.62,21.69,19.43,11.16,7.15,58.29,88.93,6.86,94.58,3.84,4.55,14.71,"Baton Rouge, LA (Metropolitan Statistical Area)",22125,"West Feliciana, LA"
13740,"Billings, MT Metropolitan Statistical Area",11.38,25.67,19.74,5.93,3.23,17.38,19.87,7.15,7.69,62.54,90.36,8.03,89.03,6.52,3.09,9.48,"Billings, MT (Metropolitan Statistical Area)",30009,"Carbon, MT"
13740,"Billings, MT Metropolitan Statistical Area",11.38,25.67,19.74,5.93,3.23,17.38,19.87,7.15,7.69,62.54,90.36,8.03,89.03,6.52,3.09,9.48,"Billings, MT (Metropolitan Statistical Area)",30095,"Stillwater, MT"
13740,"Billings, MT Metropolitan Statistical Area",11.38,25.67,19.74,5.93,3.23,17.38,19.87,7.15,7.69,62.54,90.36,8.03,89.03,6.52,3.09,9.48,"Billings, MT (Metropolitan Statistical Area)",30111,"Yellowstone, MT"
13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",10.3,37.73,12.14,9.7,4.45,19.7,24.44,13.88,9.95,60.12,87.59,7.14,94.88,7.33,4.35,15.27,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01007,"Bibb, AL"
13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",10.3,37.73,12.14,9.7,4.45,19.7,24.44,13.88,9.95,60.12,87.59,7.14,94.88,7.33,4.35,15.27,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01009,"Blount, AL"
13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",10.3,37.73,12.14,9.7,4.45,19.7,24.44,13.88,9.95,60.12,87.59,7.14,94.88,7.33,4.35,15.27,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01021,"Chilton, AL"
13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",10.3,37.73,12.14,9.7,4.45,19.7,24.44,13.88,9.95,60.12,87.59,7.14,94.88,7.33,4.35,15.27,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01073,"Jefferson, AL"
13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",10.3,37.73,12.14,9.7,4.45,19.7,24.44,13.88,9.95,60.12,87.59,7.14,94.88,7.33,4.35,15.27,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01115,"St. Clair, AL"
13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",10.3,37.73,12.14,9.7,4.45,19.7,24.44,13.88,9.95,60.12,87.59,7.14,94.88,7.33,4.35,15.27,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",01117,"Shelby, AL"
13900,"Bismarck, ND Metropolitan Statistical Area",10.58,30.72,20.75,4.63,4.16,18.84,17.46,9.2,5.68,60.35,93.7,6.95,91.03,4.72,2.75,7.11,"Bismarck, ND (Metropolitan Statistical Area)",38015,"Burleigh, ND"
13900,"Bismarck, ND Metropolitan Statistical Area",10.58,30.72,20.75,4.63,4.16,18.84,17.46,9.2,5.68,60.35,93.7,6.95,91.03,4.72,2.75,7.11,"Bismarck, ND (Metropolitan Statistical Area)",38059,"Morton, ND"
13900,"Bismarck, ND Metropolitan Statistical Area",10.58,30.72,20.75,4.63,4.16,18.84,17.46,9.2,5.68,60.35,93.7,6.95,91.03,4.72,2.75,7.11,"Bismarck, ND (Metropolitan Statistical Area)",38065,"Oliver, ND"
14260,"Boise City, ID Metropolitan Statistical Area",8.03,29.98,15.55,3.82,3.12,12.66,20.71,8.64,4.62,62.97,84.17,6.42,95.36,8.79,2.62,12.41,"Boise City, ID (Metropolitan Statistical Area)",16001,"Ada, ID"
14260,"Boise City, ID Metropolitan Statistical Area",8.03,29.98,15.55,3.82,3.12,12.66,20.71,8.64,4.62,62.97,84.17,6.42,95.36,8.79,2.62,12.41,"Boise City, ID (Metropolitan Statistical Area)",16015,"Boise, ID"
14260,"Boise City, ID Metropolitan Statistical Area",8.03,29.98,15.55,3.82,3.12,12.66,20.71,8.64,4.62,62.97,84.17,6.42,95.36,8.79,2.62,12.41,"Boise City, ID (Metropolitan Statistical Area)",16027,"Canyon, ID"
14260,"Boise City, ID Metropolitan Statistical Area",8.03,29.98,15.55,3.82,3.12,12.66,20.71,8.64,4.62,62.97,84.17,6.42,95.36,8.79,2.62,12.41,"Boise City, ID (Metropolitan Statistical Area)",16045,"Gem, ID"
