CBSA_ID,CBSA_Name_BRFSS,PercentAsthma,PercentObese,PercentBingeDrink,PercentCOPD,PercentCoronaryHeartDisease,PercentCurrentSmoker,PercentDepression,PercentDiabetes,PercentDifficultyErrandsAlone,PercentFluShot,PercentHealthCoverage,PercentOtherCancer,PercentSeatbeltUse,PercentSkinCancer,PercentStroke,PercentTooExpensiveToSeeDoctor
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",8.53,28.17,14.5,6.35,3.73,15.9,21.24,11.78,5.69,53.32,88.23,7.44,94.04,5.43,3.67,14.76
35004,"Nassau County-Suffolk County, NY Metropolitan Division",7.05,26.78,15.93,4.49,4.32,10.52,13.61,9.66,5.72,60.52,92.94,5.9,97.06,5.89,2.94,11.76
35084,"Newark, NJ-PA Metropolitan Division",9.23,24.94,15.94,4.95,3.22,12.18,13.96,8.98,6.77,63.4,88.43,7.27,95.43,4.09,2.32,12.65
35380,"New Orleans-Metairie, LA Metropolitan Statistical Area",9.11,36.07,19.52,10.4,4.39,21.72,20.65,15.26,10.49,56.84,89.79,6.43,95.56,5.9,3.86,19.15
35614,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",8.03,23.58,16.53,4.46,3.39,12.27,13.76,10.47,6.21,55.69,88.14,5.41,92.07,3.5,2.04,13.4
35820,"North Platte, NE Micropolitan Statistical Area",9.28,34.99,18.21,7.86,4.4,19.26,19.75,11.05,6.66,61.21,89.02,8.54,82.73,4.77,4.7,13.51
35840,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",6.03,25.18,16.63,7.13,5.33,16.03,16.0,9.12,7.69,57.84,84.61,8.15,96.43,12.77,3.71,12.47
36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",9.08,20.92,19.01,4.53,,8.83,13.63,6.92,4.14,60.64,90.95,6.42,98.15,5.56,,9.75
36260,"Ogden-Clearfield, UT Metropolitan Statistical Area",10.02,28.92,10.73,4.45,3.2,9.51,24.02,7.7,4.77,56.65,89.14,5.14,95.63,8.68,2.28,12.57
36420,"Oklahoma City, OK Metropolitan Statistical Area",8.8,34.55,14.72,7.23,5.12,17.13,23.14,12.09,9.92,70.39,84.21,7.04,94.92,5.88,3.38,17.63
